Gene,Intervention_logFC,Intervention_P.Value,group,utr_length,AREScore,ARED_cluster,n_7mer_L2
C9orf40,-0.31411672496625503,0.0129306434485845,down,1465,1.0,1,0
IPMK,-0.312039843526851,0.0130577645338736,down,4559,29.0,2,3
MARCKS,-0.404680100284064,0.0131984364125946,down,2896,7.0,1,0
LIN7C,-0.35014343148509103,0.0135176851922771,down,4231,21.0,1,3
PRKAR2B,-0.397491309026403,0.0135981740640271,down,2229,7.0,1,0
CIPC,-0.268065883221173,0.0139178259005776,background,2965,6.0,2,0
SGTB,-0.284669493747445,0.0139817948490133,background,4318,11.0,1,2
ATF2,-0.253450686881417,0.0150870717208719,background,2359,5.0,1,0
FAM89A,-0.18357505673979302,0.0151160217333925,background,905,1.0,1,3
A1BG,0.276246762265938,0.0152470546268994,background,1699,1.0,1,1
ZFP1,-0.25652528674017,0.0154476664521474,background,1755,1.0,1,0
ARL5B,-0.39115383125637604,0.0154754293588051,down,6423,17.0,1,6
MMD,-0.364255804886562,0.015493341311208999,down,1712,3.0,1,2
IL1RAP,-0.286158361138213,0.0156063553340284,background,2806,7.0,2,2
RAP2C,-0.35566421386360997,0.0158529817606717,down,5339,10.0,1,2
RGS18,-0.31502047110551196,0.0159376220368583,down,1261,3.0,1,0
DSC2,-0.289701737216411,0.0160015368365021,background,9383,16.0,1,4
QRFP,0.22355270855301299,0.0162928161625846,background,721,0.0,0,0
RHOQ,-0.263511659615488,0.0163497705908402,background,3605,6.0,1,2
FAM156B,0.386018876849918,0.0165576304949861,up,686,0.0,0,0
GNA13,-0.382187649593693,0.0166705784141696,down,4968,9.0,1,2
NCBP2AS2,0.28276924074614396,0.0168479199834928,background,527,0.0,0,0
PGRMC1,-0.302661038625048,0.0168479453755439,down,1212,1.0,1,0
POC1B,-0.22736587692915,0.0168879302839689,background,1435,7.0,1,2
NOXA1,0.28958437900994505,0.0170101923443033,background,45,0.0,0,0
TRAPPC8,-0.262113392221815,0.0170220238744658,background,1558,2.0,1,1
BCL2L2-PABPN1,0.22745122614046698,0.0170805138932803,background,43,0.0,0,0
ERBIN,-0.279063237398233,0.017164885782071,background,4016,11.0,1,1
DYRK2,0.403872247967265,0.0172806682413819,up,6693,11.0,1,2
RAB33B,-0.31908240906292495,0.0174946482558967,down,3483,12.0,1,2
PAPOLG,-0.291140425095208,0.0175007515562216,background,4926,5.0,1,0
DCK,-0.305022015765317,0.0176322615588757,down,1536,5.0,1,1
ZFAND2A,-0.25492353243251,0.0176737144650316,background,162,0.0,0,0
NME1,-0.374743216626293,0.0179008424038125,down,1310,1.0,1,0
TNKS2,-0.298128548686145,0.0180303063648442,background,2476,8.0,2,2
FOXH1,0.23434318263023,0.0182319583582774,background,506,0.0,0,0
SCYL2,-0.267668174361818,0.018459711287215998,background,2336,4.0,1,1
RC3H1,-0.418429603608966,0.0184619541783864,down,7637,12.0,1,2
CSTB,0.37278181224556,0.0185933522897016,up,2053,0.0,1,0
FMR1,-0.46792725206244795,0.0188517757402087,down,2223,3.0,1,1
LBX2,0.23380474134785398,0.0190908754717634,background,410,0.0,1,0
GDF9,-0.28113040946696805,0.0191456162277914,background,408,1.0,1,0
SLC52A2,0.450662473600408,0.0191918168061591,up,257,1.0,1,0
ZNF468,-0.26496666069166697,0.0193078820893999,background,3492,3.0,1,2
TRAPPC2,-0.242832972738733,0.0194162748979581,background,2162,4.0,1,1
TSPAN2,-0.34877885813947307,0.0195048395215313,down,2479,6.0,1,0
ZFR,-0.251619220205673,0.0196422604688693,background,1410,4.0,1,0
CD27,-0.59873515996713,0.0199064630582365,down,321,0.0,0,0
STAG2,-0.22531572173615103,0.0200042091399141,background,2059,9.0,2,3
PTPN22,-0.290172198194298,0.0203994104476632,background,1165,6.0,1,2
LYPLA1,-0.301367733201424,0.0204141399972811,down,1691,9.0,1,2
HIPK3,-0.406059908465842,0.0206125767690268,down,3455,11.0,1,1
ASDURF,-0.44639329262472494,0.0206492346457784,down,379,0.0,1,0
TBL1XR1,-0.24949010333427102,0.0206527512048747,background,6142,11.0,1,0
MDM1,-0.17072558974479904,0.0206703005170698,background,2429,7.0,1,1
LGALSL,-0.27834304961205103,0.0208545192143076,background,2991,8.0,2,3
ELF2,-0.191895817750889,0.0209700176751295,background,1718,4.0,1,0
MAP3K1,-0.3452544175057539,0.0211167864123783,down,2314,4.0,1,0
BEND2,-0.21356822556685198,0.0211253367507899,background,2078,5.0,1,1
G3BP2,-0.295918816645503,0.0212939790790186,background,3581,8.0,1,1
KRAS,-0.32212062128707597,0.0215255796247494,down,4452,10.0,1,1
SH3BGRL,-0.316295251270925,0.0215793299736297,down,1320,0.0,1,0
ZDHHC20,-0.311928094850314,0.0216836031232869,down,4125,8.0,1,0
TMEM123,-0.358923148240275,0.0217986202687156,down,2535,5.0,1,1
TSEN15,-0.278965884006942,0.021838130194521996,background,1772,2.0,1,0
FOXN2,-0.303658371217911,0.0221723978109463,down,3845,9.0,1,2
TMEM209,-0.230872003731629,0.0230051901229435,background,1735,7.0,1,1
ABHD13,-0.337442943479939,0.0231485382279663,down,4011,8.0,1,2
F2RL1,-0.294393046223469,0.0233608759858914,background,1514,3.0,1,1
STK38L,-0.23196376893634,0.0234206945872872,background,3504,18.0,1,0
EIF1AX,-0.35548084296170296,0.0234230724981247,down,3781,8.0,1,1
USP38,-0.239254920679068,0.0235330484740977,background,4756,12.0,2,4
LPCAT2,-0.26786781605377896,0.0235700196160436,background,3568,7.0,1,2
KCNRG,-0.33819890772673195,0.0235979296241407,down,468,0.0,1,0
SLC33A1,-0.31010420698421004,0.023729726017183,down,7186,15.0,1,1
PRELID3B,-0.27926277047075,0.0237771085980257,background,1862,4.0,1,1
SCGB1C1,0.46517974487952396,0.0238477376529543,up,125,0.0,0,0
DND1,0.356788589408608,0.024519173652492995,up,499,0.0,1,1
SYNM,-0.176955820148458,0.0249434631411854,background,2525,4.0,1,2
CHAC2,-0.29763321726689895,0.0249483919987988,background,625,1.0,1,0
ZNF48,-0.414715689156193,0.0251267582283584,down,820,0.0,1,0
REEP3,-0.16866483507482802,0.0251333040545332,background,4259,10.0,1,2
DORIP1,-0.274858959289543,0.0253335209877766,background,1707,10.0,2,1
CD19,-0.40231543133733205,0.0253535107450475,down,217,0.0,0,0
FKBPL,0.327266211755272,0.025413309712595,up,21,0.0,0,0
NAA30,-0.267400271927486,0.0256613206997785,background,6387,14.0,2,2
RTL8A,-0.54667300768783,0.0257963026054827,down,835,0.0,0,0
TMX1,-0.30341838486157896,0.0258169366979889,down,3136,12.0,1,1
SNAP23,-0.244454168007922,0.0259442888427465,background,1580,3.0,1,0
KRIT1,-0.248614544666626,0.0259977022378312,background,1767,1.0,1,0
MBNL1,-0.313071162346631,0.0261685700961456,down,3411,8.0,1,2
MARCHF7,-0.30940324153234494,0.0262352554368628,down,3685,10.0,1,1
BROX,-0.32432688318492897,0.0262663842140091,down,2471,3.0,1,1
MTPN,-0.296834121991356,0.0263348073919696,background,3166,7.0,1,3
ADISSP,0.279703872810953,0.0263739524717463,background,553,0.0,0,0
NEK7,-0.24126481067018102,0.026712574004367995,background,2884,11.0,1,2
CRLF3,-0.254881249725792,0.0270189727142521,background,1479,2.0,1,1
PJA2,-0.30256824719623304,0.0270248692798585,down,2527,8.0,1,2
WEE1,-0.25111181677871897,0.0272215592850227,background,1383,1.0,1,0
ZNF829,-0.19993879764014602,0.0273300118750451,background,3368,6.0,1,0
TRAM1,-0.387888945879173,0.0273400328434301,down,1714,7.0,1,0
CD46,-0.330687174367713,0.0273816728299972,down,2024,4.0,1,1
SLC25A40,-0.247978915638402,0.027398359104856,background,2688,12.0,1,1
DR1,-0.27084521605427603,0.0276236557187733,background,8854,16.0,1,4
PPP3R1,-0.225592052228822,0.0276561589271247,background,2106,8.0,1,2
COMTD1,0.343236518980397,0.0276903365322771,up,432,0.0,0,0
ZNF260,-0.317419680148969,0.027751747722317005,down,3306,5.0,1,2
PCNP,-0.306985880680461,0.0280287935583493,down,1712,7.0,1,0
ANKRD28,-0.145647946845543,0.0282642972128644,background,3034,6.0,1,0
ZNF275,-0.8318295059147259,0.0282645560615482,down,4907,7.0,1,0
IMPA1,-0.27623507184997304,0.0283351426830855,background,2437,4.0,1,0
CLIC4,-0.18815600016432896,0.0286140676853613,background,3379,12.0,1,1
SSNA1,0.18811188445065302,0.0287914197476955,background,456,0.0,0,0
BCL10,-0.211871656829212,0.0290405170439735,background,1851,2.0,1,0
PPP4R2,-0.28298364678689303,0.0291115508315042,background,3476,17.0,1,5
RAB2B,-0.288466913427899,0.0291305791625777,background,2176,2.0,1,3
TSC22D2,-0.166086723930166,0.0292198624493858,background,7786,15.0,1,4
PGAM4,0.5140612945212779,0.0292292955953494,up,925,1.0,1,0
ANAPC4,-0.30769111737064697,0.02933618588525,down,1928,6.0,1,0
LRP3,0.21229991555158,0.0295538506603614,background,1289,0.0,1,1
PEX13,-0.253121565169165,0.0295676621774098,background,3220,11.0,2,4
TMED7,-0.421033737564624,0.0297141453628679,down,2996,12.0,1,3
GALNT4,-0.650836753168658,0.0297331398842028,down,3401,12.0,1,2
UBE2D3,-0.223817822783358,0.0297366782811987,background,3899,5.0,1,0
HAX1,0.39592974536901704,0.0297424190183673,up,174,1.0,1,1
ABI1,-0.22431913393512196,0.0297794318135087,background,2628,5.0,1,1
MCM4,-0.286505508981853,0.0300215809468443,background,1382,0.0,1,0
NUDT21,-0.301582587736633,0.0300356726397637,down,3579,5.0,1,1
POLK,-0.18787573001301602,0.0301075937470469,background,11973,24.0,2,6
C1GALT1C1,-0.263162189092589,0.0302051274548226,background,536,0.0,1,0
LATS1,-0.249286946837436,0.0302086042991605,background,3576,10.0,2,1
KLF3,-0.25834692083553695,0.030346053132441,background,4254,4.0,1,1
FOXM1,-0.34898581816744795,0.0304239305582079,down,958,0.0,0,0
SEC23A,-0.20168601752532697,0.0304613018172402,background,1318,5.0,1,0
ZNF100,-0.208711703819653,0.0305100515252979,background,3917,16.0,2,5
LY75,-0.21899759836633603,0.0308089810139874,background,1679,7.0,1,0
ITGB1,-0.298273588095931,0.031030610379157,background,4279,9.0,1,3
CEACAM21,0.189200149322799,0.0311140131399272,background,100,0.0,1,0
ITPRID2,-0.267899794900554,0.031116040179104,background,1191,4.0,1,2
PDE3B,-0.211614020866099,0.0313039580114942,background,4954,12.0,1,3
AGAP3,0.263111154812446,0.0314111907665751,background,491,1.0,1,1
TAGLN2,0.460235739784439,0.0314329655891029,up,685,1.0,1,0
WHR1,0.266352764467075,0.0315703439878829,background,396,0.0,0,0
HIPK1,-0.258723797807989,0.0315788244407669,background,4292,5.0,1,0
TFPT,0.7161229199433421,0.0316702779148094,up,30,0.0,0,0
NUP58,-0.23586814517451898,0.0316990021609859,background,4759,13.0,1,4
ZNF10,-0.22605845289736398,0.031869456242138,background,2445,0.0,1,1
SFRP5,0.303503090956705,0.0318905014603895,up,763,0.0,0,0
MKI67,-0.40032103769753397,0.0319301543495317,down,2531,0.0,1,0
STX11,-0.310170849562365,0.0319561934359939,down,4446,7.0,2,0
TGFBR1,-0.29033224957132897,0.031991304353534,background,4887,5.0,1,1
RNF11,-0.3565587240063521,0.0320260740817098,down,1786,6.0,1,1
ENKD1,0.26249268475152304,0.0323403394717333,background,390,0.0,0,0
SUMO1,-0.24777296993652698,0.0324063130923811,background,1071,0.0,1,0
OGFOD2,0.383060122416796,0.0324184083672535,up,696,0.0,1,0
ZNF484,-0.229208546864058,0.0325082732648025,background,3057,6.0,1,3
PPIP5K2,-0.22627288563856,0.0325946842897743,background,11165,16.0,1,3
TAF1A,-0.158456772286289,0.0326045601294166,background,754,3.0,1,3
APC,-0.19806308290129002,0.0328842753252707,background,2113,3.0,1,1
GPR15,-0.449102561874502,0.0329162334909754,down,1565,1.0,1,1
ZBTB11,-0.331526020876178,0.0329370276527877,down,2277,4.0,1,2
GNG2,-0.25362524312165496,0.0330859544477258,background,3113,3.0,1,1
PNRC1,-0.277023032367338,0.0332778808981863,background,149,0.0,0,0
VCPIP1,-0.260413029222451,0.0334821602739059,background,6014,12.0,1,2
STK26,-0.29739566519922606,0.0335147907435007,background,1784,8.0,1,2
RNF138,-0.29039882329194394,0.0336289477359114,background,2374,8.0,1,2
UBA6,-0.24747586671448202,0.0336530304381875,background,6341,12.0,2,2
CD164,-0.40214918480137496,0.03374639276964,down,2337,13.0,1,0
TCEA1,-0.27381998603592,0.0338040019984808,background,276,3.0,1,2
SOCS1,-0.763339591285468,0.0340915264339345,down,5742,0.0,1,0
CDK17,-0.203526808700411,0.0342550644934717,background,1689,6.0,1,2
UBLCP1,-0.279152457432599,0.0343579489099586,background,1105,1.0,1,0
RAB21,-0.23329730558414,0.0343914144019057,background,14613,31.0,2,6
NCOA2,-0.19977260930422197,0.0345415270802892,background,3856,9.0,1,1
NKX3-1,-0.300505263028239,0.0347718992928144,down,2524,0.0,1,0
MPC2,-0.209294699374629,0.034795937878999005,background,1648,3.0,1,0
BMI1,-0.40063249448269894,0.0348232634743744,down,1940,5.0,1,2
CXCL3,-0.395267690292257,0.0350302696715553,down,673,5.0,1,3
LIN54,-0.152430470779819,0.0352344741063476,background,3133,10.0,1,1
CDKN1B,-0.269821203158645,0.0353054855444172,background,3266,7.0,1,3
YTHDF3,-0.253474583722581,0.0356791994657757,background,3080,10.0,1,1
SPACA9,-0.18588083843292802,0.0361824003506731,background,1420,0.0,1,0
MANEA,-0.279117431715157,0.0363157177931605,background,2610,11.0,1,3
MBTD1,-0.212550151317375,0.0364561742477526,background,3151,8.0,1,1
WDR44,-0.167499155618452,0.0365211706368315,background,425,1.0,1,0
FBXO48,-0.293098454036344,0.0366047257552467,background,4787,4.0,1,2
FNDC3A,-0.165958379553629,0.0366262225728405,background,2384,7.0,1,1
PPM1D,-0.2035076855663,0.0366484422178613,background,2728,5.0,2,2
PCMTD1,-0.221411501739235,0.0367939790379344,background,2768,6.0,1,1
WDFY1,-0.255461073952433,0.0369033014995965,background,3323,5.0,1,1
GCAT,0.22612981403258497,0.0369436289845874,background,178,0.0,0,0
PSMG3,0.238673627365597,0.0369445299359244,background,362,0.0,0,0
TMSB15C,-0.19237276652384802,0.0370240259844686,background,1971,3.0,1,1
RLN1,-0.212912546193062,0.0370802061682095,background,321,0.0,0,0
PKN2,-0.265788846637692,0.0370995667039961,background,2807,7.0,1,2
DUS4L,-0.21070894843936602,0.037174178103097005,background,1923,2.0,1,0
IREB2,-0.23991214791222304,0.0373375201526911,background,3310,6.0,1,0
CAPZA2,-0.24896547551101397,0.0374140121061245,background,4182,4.0,1,1
PGA3,0.271742833915496,0.0374358172274439,background,20,0.0,0,0
XPO1,-0.42283535932422994,0.0374643060888288,down,1131,3.0,1,1
CTBS,-0.29599226651431104,0.0376377881046694,background,5388,21.0,2,4
HCFC2,-0.206765056758788,0.0376430214407141,background,3251,4.0,1,2
PRAG1,-0.34670499587109105,0.0377481513836438,down,418,1.0,1,0
ZNF490,-0.18969497292480397,0.0379224042048299,background,4385,1.0,1,1
DPY19L1,-0.286570806623834,0.0379679029659287,background,4281,7.0,1,1
PHTF2,-0.176565019690682,0.0380027949709925,background,2622,6.0,1,2
SLC25A46,-0.333997571433432,0.0382033038293771,down,3375,6.0,1,0
C5orf24,-0.34512179674430793,0.0382904830756909,down,4261,22.0,1,3
QKI,-0.217611987885619,0.0384419753835702,background,7882,23.0,2,3
ZNF135,-0.19131932563740198,0.0387250856105585,background,1294,1.0,1,0
PTPRC,-0.30511335918741805,0.0388234351167993,down,3165,16.0,1,1
MCRIP1,0.202123427891571,0.0388334615989854,background,430,0.0,1,0
OPLAH,0.268549792083391,0.0389361089976634,background,60,0.0,0,0
SH3BGRL2,-0.21468207934883302,0.03898837044157,background,4146,7.0,2,1
PGAM2,0.33245296659761,0.0392463506016481,up,37,0.0,0,0
PELI1,-0.276670303238261,0.0394558173956841,background,2050,8.0,2,1
SGPP1,-0.273713220487427,0.0396051524577644,background,1889,13.0,2,0
HSPA13,-0.363164895276761,0.0397037587724842,down,2502,9.0,2,2
ZNF708,-0.23649916089263504,0.0398552533643994,background,9241,19.0,1,3
FAAH,0.24210256219773799,0.0402376459215374,background,270,0.0,0,0
ZFAND6,-0.20817630660123396,0.0402893708205736,background,2664,2.0,1,2
AURKB,-0.327649159590151,0.0404532042756526,down,138,0.0,0,0
LCN8,0.32488903028918603,0.0404821089502097,up,112,0.0,0,0
DDX3X,-0.325414006825112,0.0405483211033473,down,2418,5.0,1,3
RNASEH2C,0.444132775058493,0.0405750162943658,up,2110,0.0,1,0
SMIM14,-0.20516664378353197,0.040584500369632,background,5790,16.0,1,2
ARFIP2,0.394330012694399,0.0407295329899318,up,2408,0.0,1,0
RIMOC1,-0.305666905223627,0.040843979663726,down,4337,8.0,1,2
SUCO,-0.19516107710475697,0.0410257222557024,background,1572,2.0,1,2
TSPO,0.19204120116956,0.041314962821992,background,250,0.0,0,0
MAF,-0.343052327137747,0.0414528373394607,down,4450,4.0,1,0
TIMM10,0.35773100606372704,0.0415320592541504,up,253,0.0,0,0
VHL,-0.41878156460528704,0.041700490395623006,down,3702,1.0,1,1
PPP1R15B,-0.283313075701826,0.0419921637624663,background,2711,7.0,1,1
CEP170,-0.190818695954094,0.0421126650340838,background,2021,10.0,2,3
DOK1,0.22190318809292,0.0421437967402388,background,440,1.0,1,0
ZHX1,-0.231696394229195,0.0422831814061153,background,1868,4.0,1,3
SEC24B,-0.192839297501713,0.042381615894032006,background,1221,3.0,2,1
MORC3,-0.24474587758293398,0.0426542296861177,background,1336,1.0,1,1
ARRDC3,-0.40472657695328706,0.0426981938657672,down,2769,4.0,2,0
RBBP7,-0.385141733177552,0.0427233632825691,down,694,1.0,1,0
TOR1AIP1,-0.230362248047372,0.0430571833149635,background,1838,4.0,1,0
ZCCHC8,-0.21653151963957198,0.0432850137532007,background,1897,3.0,1,0
GLT8D1,-0.25808190595437,0.0436536585704246,background,491,1.0,1,0
LEPROT,-0.18564027878478104,0.0437535407219143,background,4088,6.0,1,2
ZNF575,0.21345154626822,0.0439215743333509,background,811,0.0,1,0
SGO1,-0.186754449843254,0.0442490192080094,background,1224,4.0,1,0
LYSMD3,-0.34950748894024497,0.0442784826561289,down,3193,14.0,1,2
RIOK3,-0.29716473724151804,0.0443104260623392,background,1861,6.0,1,1
EIF4G2,-0.37371336237764596,0.0443319861471922,down,763,0.0,1,0
EID1,-0.307623687781739,0.0443461084515983,down,1433,1.0,1,0
CISD1,-0.192343495006807,0.0443868557032519,background,1936,4.0,1,1
ZNF302,-0.35058870997442604,0.0443930905261138,down,2223,1.0,1,1
GOLPH3,-0.21939595167508102,0.0444378665595267,background,1496,0.0,1,0
KLHL24,-0.24286271443934304,0.0444817009490459,background,5189,12.0,1,1
MOSPD2,-0.246117555058427,0.0444907968622267,background,2518,12.0,1,0
TFRC,-0.23744836588613802,0.0447310596359113,background,2658,3.0,1,2
CLDN9,0.38866124460766205,0.0448837094162749,up,489,0.0,0,0
FGFR1OP2,-0.221615760907648,0.044941870885469,background,1915,12.0,2,0
NPTN,-0.20810470680080603,0.0450116315874697,background,1041,3.0,1,1
SMNDC1,-0.263882151061533,0.0450116882131003,background,3420,6.0,1,0
TAF13,-0.306888429062058,0.045117613015815995,down,2027,4.0,1,0
DDHD1,-0.23486590006669197,0.0453414705553637,background,10023,19.0,2,2
HMGB3,-0.218941160523059,0.045696932696497,background,2849,0.0,1,0
PRKACB,-0.416994354316477,0.0458122954534322,down,3193,9.0,1,0
RNFT1,-0.30964547547444604,0.045852622374773,down,737,3.0,1,0
PRPF39,-0.33752506878908,0.0459270311261584,down,1369,4.0,1,0
TOB1,-0.26393505111811605,0.0459438271084552,background,757,3.0,1,0
SLC16A6,-0.24670128488199103,0.0460251953731606,background,2070,10.0,1,2
BCL2L11,-0.44803696250673597,0.0464973712239861,down,4213,5.0,1,2
CCDC85B,0.239068983367087,0.0465974343817817,background,243,0.0,0,0
TAB3,-0.18432310033036606,0.0466630733736518,background,3980,3.0,1,2
CLCC1,-0.281051363570596,0.0466707868010731,background,6623,4.0,1,0
RLIG1,-0.26297020815537603,0.0467718176193282,background,1736,12.0,1,1
SOS2,-0.213906112579352,0.0467982072245701,background,1208,4.0,1,0
ELOVL5,-0.241282091554397,0.0473593410309715,background,2499,3.0,1,2
IFI27L2,0.219116396660183,0.0474212917950422,background,2219,1.0,1,0
MOSPD1,-0.18916693415828303,0.047548639474312,background,1548,2.0,1,1
BET1,-0.19055555442793104,0.0476647763569262,background,985,4.0,1,0
CLINT1,-0.20853635549740698,0.0477011741193607,background,1903,5.0,1,1
NIPSNAP2,-0.212978841571395,0.0477661503896609,background,1106,2.0,1,0
R3HDM2,-0.18601974439806498,0.0478435527155635,background,980,2.0,1,1
ZFAND5,-0.204842046747799,0.04801166531747799,background,4541,8.0,1,1
RBM7,-0.35534660747585795,0.0481004164433454,down,6210,9.0,2,3
C21orf91,-0.316481986605375,0.0481830114358472,down,4441,11.0,2,3
SKIL,-0.27389725431934603,0.0482050596518749,background,4418,20.0,2,3
PELI2,-0.173634629301507,0.0482326304904517,background,4358,12.0,2,2
TTC32,-0.320918162743438,0.0482486702078656,down,356,5.0,1,0
DPM1,0.20679655748059,0.0483016169969151,background,265,1.0,1,0
ZSWIM6,-0.127550545282905,0.048309217218164995,background,1855,9.0,2,3
SNX18,-0.26648959362861996,0.0483708422397618,background,3154,6.0,1,1
TMED2,-0.232244618619289,0.0485990972042023,background,1853,4.0,1,1
SELENOT,-0.24680560413539102,0.0486201102187151,background,2807,15.0,1,1
SLC25A36,-0.350470734484799,0.0488329317852205,down,4542,14.0,1,2
PLA2G12A,-0.176338481933202,0.0488663267741083,background,4388,12.0,1,6
TAX1BP1,-0.197082982915976,0.0490867268846587,background,3591,0.0,1,0
SLFN12,-0.269912996647231,0.0491876258196708,background,1991,0.0,1,0
NUDT4,-0.242130547939495,0.0492849923323748,background,8767,8.0,1,1
ACAP2,-0.235483883307528,0.0494688229135063,background,4583,12.0,1,1
RNF181,0.179598573362929,0.0495161113705014,background,48,0.0,0,0
TMOD3,-0.201833042448449,0.04954713325233499,background,6915,13.0,1,2
PRR29,-0.41888937009828703,0.0499148177327456,down,2544,0.0,0,0
SEC24A,-0.17817327441570002,0.0500897009951566,background,2808,7.0,1,1
C9orf72,-0.31285762489582697,0.0501592850627357,background,1690,4.0,1,1
C17orf75,-0.22463370078008105,0.050250014634007,background,3322,4.0,1,1
AMACR,-0.227137074865367,0.0503465666576838,background,2928,6.0,2,1
CASP3,-0.224807772139576,0.0503647266852717,background,1740,0.0,1,0
ABCA5,-0.198446963470873,0.050531873332529,background,3226,15.0,2,3
MARVELD1,0.291615962209942,0.0506142575291754,background,2544,0.0,1,0
RBM45,-0.227554644349082,0.0506323562753629,background,1580,8.0,1,1
ALKBH2,0.27806372093548604,0.0506502000833524,background,17,0.0,0,0
DRC12,0.305559602636028,0.0507556229968715,background,245,1.0,1,0
DENND6A,-0.21440318004278797,0.0508675097281077,background,2760,5.0,1,0
ALDH5A1,-0.253072455035595,0.0510005259307872,background,3495,4.0,1,0
MED23,-0.22048908731714603,0.0513080848450625,background,947,2.0,1,0
PLEKHA3,-0.21090657829260898,0.0513718970257399,background,12576,27.0,2,7
ETNK1,-0.280864470388967,0.0514034348200227,background,5711,15.0,2,3
TANK,-0.17364404230239,0.0514126818457417,background,831,7.0,1,1
LIMS1,-0.244075467586082,0.0514800524141039,background,3247,7.0,2,2
CSF2RB,-0.297467092567462,0.0516543493562356,background,1941,1.0,1,0
